nhl_id,ff_id,playerFullName,teamAbbrevs,positionCode,gamesPlayed,playerType,freeAgent,fantasy_points_total,fantasy_points_per_game,hits,blockedShots,realtimeTOI
8478470,3894,Sam Montembeault,MTL,G,5,Goalie,0,7.75,1.55,0,0,0
8480876,,Curtis Douglas,TBL,C,8,Skater,0,7.65,0.956,8,2,322.37
8484806,,Sam Dickinson,SJS,D,9,Skater,0,7.6000000000000005,0.844,5,6,845.0
8483476,8939,Jonathan Lekkerimäki,VAN,R,4,Skater,1,7.55,1.887,5,2,594.0
8480245,9019,Olle Lycksell,OTT,R,5,Skater,1,7.5,1.5,2,3,626.0
8479026,4011,Philippe Myers,TOR,D,4,Skater,1,7.45,1.863,4,8,963.0
8479985,5260,Cale Fleury,SEA,D,4,Skater,1,7.45,1.863,6,2,883.5
8483752,,Dominic James,TBL,C,5,Skater,0,7.45,1.49,8,3,740.4
8474567,104,Zach Bogosian,MIN,D,5,Skater,1,7.25,1.45,6,9,832.6
8481167,5207,Brayden Pachal,CGY,D,5,Skater,1,7.15,1.43,13,1,774.4
8476874,,Olli Määttä,UTA,D,11,Skater,0,7.0,0.636,0,10,682.63
8476927,4121,Teddy Blueger,VAN,C,2,Skater,1,6.9,3.45,3,3,949.5
8479022,,Rodrigo Abols,PHI,C,6,Skater,0,6.9,1.15,8,3,512.16
8484135,9625,Parker Ford,WPG,C,4,Skater,1,6.75,1.688,10,4,613.75
8484203,9267,Bradly Nadeau,CAR,L,3,Skater,1,6.75,2.25,3,2,640.66
8474593,,Jacob Markstrom,NJD,G,4,Goalie,0,6.75,1.688,0,0,0
8477508,3280,Curtis Lazar,EDM,C,2,Skater,1,6.6499999999999995,3.325,4,2,704.0
8483573,,Ethen Frank,WSH,C,3,Skater,0,6.6499999999999995,2.217,2,2,678.33
8480434,,Sean Durzi,UTA,D,2,Skater,0,6.6,3.3,3,4,1135.5
8481178,5294,Egor Zamula,PHI,D,6,Skater,1,6.6,1.1,0,8,821.33
8482761,8705,Carl Lindbom,VGK,G,2,Goalie,1,6.5,3.25,0,0,0
8479400,4042,Pierre-Luc Dubois,WSH,L,6,Skater,1,6.250000000000001,1.042,6,3,932.0
8481569,,Marshall Warren,NYI,D,2,Skater,0,6.2,3.1,2,0,728.0
8483768,9690,Victor Mancini,VAN,D,5,Skater,1,6.15,1.23,6,5,631.6
8482787,,Nikita Chibrikov,WPG,R,5,Skater,0,6.1000000000000005,1.22,7,3,581.8
8477919,3851,Freddy Gaudreau,SEA,C,4,Skater,1,6.05,1.512,2,5,772.0
8475235,2199,Nicolas Deslauriers,PHI,L,4,Skater,1,5.9,1.475,11,0,443.0
